qid,image_name,image_organ,question,question_type,answer,answer_type
3,synpic28602.jpg,CHEST,What type of imaging does this not represent?,MODALITY,ultrasound,OPEN
5,synpic28602.jpg,CHEST,What is not pictured in this image?,ORGAN,The extremities,OPEN
11,synpic42202.jpg,CHEST,Which organ system is abnormal in this image?,ORGAN,Cardiovascular,OPEN
16,synpic54610.jpg,HEAD,What type of imaging is this?,MODALITY,MRI Diffusion Weighted,OPEN
17,synpic54610.jpg,HEAD,What organ system is pictured?,ORGAN,the brain,OPEN
26,synpic42202.jpg,CHEST,What type of image is this?,MODALITY,Chest X-ray,OPEN
29,synpic39460.jpg,HEAD,In what plane is this image oriented?,PLANE,Axial,OPEN
181,synpic18319.jpg,CHEST,Describe the lung abnormalities?,ABN,Pulmonary nodules,OPEN
182,synpic18319.jpg,CHEST,What abnormalities are seen within the lungs?,ABN,Pulmonary nodules,OPEN
183,synpic32933.jpg,CHEST,What is under the right hemidiaphragm?,PRES,Free air,OPEN
184,synpic32933.jpg,CHEST,What is the abnormality by the right hemidiaphragm?,PRES,Free air,OPEN
190,synpic40464.jpg,ABD,How would you describe the spleen abnormality,ATTRIB,hypodense lesion,OPEN
191,synpic40464.jpg,ABD,What is abnormal about the spleen?,ATTRIB,hypodense lesion,OPEN
192,synpic20260.jpg,ABD,What organ system is evaluated primarily?,ORGAN,GI,OPEN
198,synpic56799.jpg,HEAD,How would you describe the lesion?,ATTRIB,Ring-enhancing lesion,OPEN
199,synpic56799.jpg,HEAD,What are key characteristics of the lesion?,ATTRIB,Ring-enhancing lesion,OPEN
205,synpic55948.jpg,HEAD,How would you describe the abnormality?,ATTRIB,Diffuse,OPEN
207,synpic20260.jpg,ABD,What kind of scan is this?,MODALITY,CT,OPEN
210,synpic18461.jpg,CHEST,What kind of image is this?,MODALITY,Chest x-ray,OPEN
213,synpic40314.jpg,ABD,What organ is enlarged?,"PRES, POS",Pancreas,OPEN
214,synpic40314.jpg,ABD,Which organ has the abnormality?,"PRES, POS",Pancreas,OPEN
215,synpic31400.jpg,CHEST,where is the cavitary lesion?,POS,Right upper lobe,OPEN
216,synpic31400.jpg,CHEST,where is the abnormality?,POS,Right upper lobe,OPEN
218,synpic23130.jpg,ABD,What density is the abnormality?,COLOR,Hypodense,OPEN
219,synpic33889.jpg,ABD,What part of the liver is the mass located in?,POS,Left hepatic lobe,OPEN
220,synpic33889.jpg,ABD,Where is the mass in the liver?,POS,Left hepatic lobe,OPEN
221,synpic18461.jpg,CHEST,What organ is primarily evaluated in this image?,ORGAN,Lungs,OPEN
222,synpic57368.jpg,HEAD,What hemisphere are the lesions located in?,POS,Bilateral,OPEN
223,synpic57368.jpg,HEAD,Where are the abnormalities?,POS,Bilateral,OPEN
224,synpic20260.jpg,ABD,What does nodular liver suggest?,OTHER,Cirrhosis,OPEN
225,synpic20260.jpg,ABD,What does the shape of the liver suggest?,OTHER,Cirrhosis,OPEN
226,synpic20260.jpg,ABD,What is the brightness in the abdominal aorta?,PRES,Atherosclerotic calcification,OPEN
227,synpic20260.jpg,ABD,What causes hyper intensity in aorta?,PRES,Atherosclerotic calcification,OPEN
229,synpic51709.jpg,HEAD,Where in the brain is the lesion?,POS,right parietal lobe,OPEN
230,synpic51709.jpg,HEAD,Where is the lesion?,POS,right parietal lobe,OPEN
231,synpic31400.jpg,CHEST,Which organ system is imaged?,ORGAN,Chest,OPEN
234,synpic40464.jpg,ABD,What does the hypodensity suggest?,OTHER,metastasis,OPEN
235,synpic40464.jpg,ABD,What caused the lesion?,OTHER,metastasis,OPEN
236,synpic33889.jpg,ABD,In what plane is this image taken?,PLANE,axial,OPEN
238,synpic49914.jpg,CHEST,Which plane is this image taken?,PLANE,PA,OPEN
239,synpic21044.jpg,CHEST,What is abnormal about the hila?,ATTRIB,Enlarged,OPEN
241,synpic49914.jpg,CHEST,What is happening in the right lung?,ABN,Volume loss,OPEN
242,synpic49914.jpg,CHEST,What is finding in the right lung?,ABN,Volume loss,OPEN
244,synpic40464.jpg,ABD,How many lesions are in the spleen?,COUNT,one,OPEN
252,synpic31400.jpg,CHEST,What abnormalities are in the lung apices?,ABN,Nodular opacities,OPEN
253,synpic31400.jpg,CHEST,What is seen in the lung apices?,ABN,Nodular opacities,OPEN
255,synpic18319.jpg,CHEST,What can cause asymmetrical breasts?,OTHER,Prior surgery,OPEN
256,synpic18319.jpg,CHEST,Why are the breasts asymmetrical?,OTHER,Prior surgery,OPEN
260,synpic57368.jpg,HEAD,How would you describe the abnormalities,ATTRIB,Ring-enhancing lesions,OPEN
262,synpic56799.jpg,HEAD,What lobe is the lesion located in?,POS,right temporal lobe,OPEN
263,synpic56799.jpg,HEAD,Where is the abnormality located?,POS,right temporal lobe,OPEN
264,synpic21734.jpg,ABD,What organ is the mass in?,POS,Pancreas,OPEN
265,synpic21734.jpg,ABD,Where is the mass?,POS,Pancreas,OPEN
266,synpic45162.jpg,ABD,What abnormalities are in the right upper quadrant?,PRES,Gallstones,OPEN
267,synpic45162.jpg,ABD,What is in the right upper quadrant?,PRES,Gallstones,OPEN
